,KEW.PS-3/BAKERI/265,SUSU UHT (FULL CREAM),1
,KEW.PS-3/BAKERI/266,SUSU SEGAR (FRESH MILK),1
,KEW.PS-3/BAKERI/267,SANTAN KOTAK,1
,KEW.PS-3/BAKERI/268,SANTAN SERBUK,
,KEW.PS-3/BAKERI/269,SOS CILI,1
,KEW.PS-3/BAKERI/270,SOS TOMATO,1
,KEW.PS-3/BAKERI/271,SOS THAI,
,KEW.PS-3/BAKERI/272,SOS LADA HITAM (BLACKPAPER),1
,KEW.PS-3/BAKERI/273,SOS TIRAM,1
,KEW.PS-3/BAKERI/274,SOS PASTA (TRADISIONAL),1
,KEW.PS-3/BAKERI/275,SOS PASTA (CHEESE),1
,KEW.PS-3/BAKERI/276,SOS THOUSAND ISLAND,1
,KEW.PS-3/BAKERI/277,SERBUK JELLY,1
,KEW.PS-3/BAKERI/278,SERBUK PUDDING,1
,KEW.PS-3/BAKERI/279,SERBUK GREEN TEA,1
,KEW.PS-3/BAKERI/280,SERBUK PERASA/SECUKUP RASA,1
,KEW.PS-3/BAKERI/281,SERBUK KUNYIT,
,KEW.PS-3/BAKERI/282,SERBUK KULIT KAYU MANIS/CINNAMON POWDER,1
,KEW.PS-3/BAKERI/283,SERBUK KARI ,1
,KEW.PS-3/BAKERI/284,SERBUK LADA HITAM,1
,KEW.PS-3/BAKERI/285,SERBUK LADA SULAH,1
,KEW.PS-3/BAKERI/286,SERBUK JINTAN MANIS,1
,KEW.PS-3/BAKERI/287,SERBUK JINTAN PUTIH,1
,KEW.PS-3/BAKERI/288,SERBUK HALIA,
,KEW.PS-3/BAKERI/289,SERBUK OREGANO,1
,KEW.PS-3/BAKERI/290,SERBUK PAPRIKA,1
,KEW.PS-3/BAKERI/291,SERBUK ALL SPICE/MIX SPICE,1
,KEW.PS-3/BAKERI/292,SALTED EGG POWDER,1
,KEW.PS-3/BAKERI/293,SPAGHETI,1
,KEW.PS-3/BAKERI/294,SWISSROLL KEK,1
,KEW.PS-3/BAKERI/295,SERAI,1
,KEW.PS-3/BAKERI/296,SAYUR - CENDAWAN TIRAM,
,KEW.PS-3/BAKERI/297,SAYUR - CENDAWAN INOKI,
,KEW.PS-3/BAKERI/298,SAYUR - CILI BESAR (MERAH/HIJAU),1
,KEW.PS-3/BAKERI/299,SAYUR - CILI PADI,
